,0
1/1/19,74
1/2/19,62
1/3/19,1
1/4/19,58
1/5/19,49
1/6/19,48
1/7/19,69
1/8/19,83
1/9/19,34
1/10/19,70
1/11/19,57
1/12/19,31
1/13/19,17
1/14/19,29
1/15/19,81
1/16/19,42
1/17/19,27
1/18/19,25
1/19/19,36
1/20/19,8
1/21/19,17
1/22/19,66
1/23/19,999
1/24/19,23
1/25/19,69
1/26/19,56
1/27/19,20
1/28/19,91
1/29/19,99
1/30/19,31
1/31/19,13
2/1/19,31
2/2/19,30
2/3/19,2
2/4/19,70
2/5/19,66
2/6/19,55
2/7/19,83
2/8/19,14
2/9/19,55
2/10/19,47
2/11/19,39
2/12/19,92
2/13/19,69
2/14/19,31
2/15/19,73
2/16/19,30
2/17/19,50
2/18/19,57
2/19/19,68
2/20/19,35
2/21/19,30
2/22/19,51
2/23/19,54
2/24/19,13
2/25/19,41
2/26/19,41
2/27/19,45
2/28/19,12
3/1/19,15
3/2/19,64
3/3/19,69
3/4/19,64
3/5/19,65
3/6/19,49
3/7/19,-7
3/8/19,25
3/9/19,54
3/10/19,-6
3/11/19,50
3/12/19,92
3/13/19,44
3/14/19,22
3/15/19,24
3/16/19,999
3/17/19,49
3/18/19,73
3/19/19,65
3/20/19,39
3/21/19,65
3/22/19,51
3/23/19,31
3/24/19,51
3/25/19,45
3/26/19,89
3/27/19,43
3/28/19,1
3/29/19,54
3/30/19,48
3/31/19,4
4/1/19,30
4/2/19,90
4/3/19,50
4/4/19,25
4/5/19,70
4/6/19,29
4/7/19,50
4/8/19,30
4/9/19,86
4/10/19,45
4/11/19,54
4/12/19,34
4/13/19,34
4/14/19,13
4/15/19,57
4/16/19,75
4/17/19,39
4/18/19,22
4/19/19,-5
4/20/19,24
4/21/19,33
4/22/19,46
4/23/19,59
4/24/19,46
4/25/19,-11
4/26/19,29
4/27/19,29
4/28/19,83
4/29/19,54
4/30/19,75
5/1/19,39
5/2/19,-7
5/3/19,16
5/4/19,52
5/5/19,83
5/6/19,44
5/7/19,59
5/8/19,65
5/9/19,62
5/10/19,15
5/11/19,49
5/12/19,45
5/13/19,76
5/14/19,70
5/15/19,41
5/16/19,12
5/17/19,9
5/18/19,23
5/19/19,28
5/20/19,64
5/21/19,55
5/22/19,999
5/23/19,999
5/24/19,999
5/25/19,69
5/26/19,77
5/27/19,40
5/28/19,82
5/29/19,72
5/30/19,25
5/31/19,24
6/1/19,53
6/2/19,54
6/3/19,45
6/4/19,68
6/5/19,63
6/6/19,38
6/7/19,31
6/8/19,52
6/9/19,8
6/10/19,57
6/11/19,80
6/12/19,25
6/13/19,26
6/14/19,71
6/15/19,31
6/16/19,45
6/17/19,52
6/18/19,73
6/19/19,59
6/20/19,35
6/21/19,6
6/22/19,69
6/23/19,19
6/24/19,35
6/25/19,89
6/26/19,35
6/27/19,67
6/28/19,43
6/29/19,46
6/30/19,17
7/1/19,78
7/2/19,66
7/3/19,66
7/4/19,61
7/5/19,6
7/6/19,38
7/7/19,57
7/8/19,42
7/9/19,86
7/10/19,999
7/11/19,999
7/12/19,-18
7/13/19,49
7/14/19,58
7/15/19,29
7/16/19,94
7/17/19,38
7/18/19,27
7/19/19,43
7/20/19,24
7/21/19,37
7/22/19,61
7/23/19,62
7/24/19,19
7/25/19,28
7/26/19,77
7/27/19,11
7/28/19,16
7/29/19,37
7/30/19,77
7/31/19,54
8/1/19,50
8/2/19,31
8/3/19,26
8/4/19,27
8/5/19,51
8/6/19,96
8/7/19,32
8/8/19,76
8/9/19,54
8/10/19,80
8/11/19,24
8/12/19,47
8/13/19,59
8/14/19,42
8/15/19,49
8/16/19,49
8/17/19,18
8/18/19,15
8/19/19,56
8/20/19,72
8/21/19,60
8/22/19,47
8/23/19,49
8/24/19,39
8/25/19,12
8/26/19,49
8/27/19,63
8/28/19,45
8/29/19,26
8/30/19,5
8/31/19,54
9/1/19,22
9/2/19,40
9/3/19,77
9/4/19,45
9/5/19,41
9/6/19,19
9/7/19,17
9/8/19,86
9/9/19,57
9/10/19,74
9/11/19,63
9/12/19,13
9/13/19,-7
9/14/19,33
9/15/19,53
9/16/19,62
9/17/19,78
9/18/19,37
9/19/19,-1
9/20/19,28
9/21/19,26
9/22/19,24
9/23/19,39
9/24/19,81
9/25/19,36
9/26/19,-4
9/27/19,73
9/28/19,56
9/29/19,70
9/30/19,65
10/1/19,75
10/2/19,48
10/3/19,48
10/4/19,57
10/5/19,19
10/6/19,-2
10/7/19,45
10/8/19,51
10/9/19,79
10/10/19,33
10/11/19,64
10/12/19,49
10/13/19,65
10/14/19,27
10/15/19,59
10/16/19,66
10/17/19,62
10/18/19,61
10/19/19,63
10/20/19,15
10/21/19,61
10/22/19,53
10/23/19,44
10/24/19,6
10/25/19,16
10/26/19,21
10/27/19,23
10/28/19,57
10/29/19,67
10/30/19,34
10/31/19,43
11/1/19,-22
11/2/19,35
11/3/19,-9
11/4/19,999
11/5/19,82
11/6/19,37
11/7/19,73
11/8/19,45
11/9/19,25
11/10/19,34
11/11/19,37
11/12/19,62
11/13/19,83
11/14/19,47
11/15/19,35
11/16/19,73
11/17/19,6
11/18/19,48
11/19/19,68
11/20/19,21
11/21/19,24
11/22/19,54
11/23/19,60
11/24/19,63
11/25/19,35
11/26/19,83
11/27/19,83
11/28/19,13
11/29/19,33
11/30/19,50
12/1/19,21
12/2/19,41
12/3/19,70
12/4/19,40
12/5/19,61
12/6/19,6
12/7/19,3
12/8/19,73
12/9/19,57
12/10/19,93
12/11/19,44
12/12/19,16
12/13/19,51
12/14/19,27
12/15/19,42
12/16/19,29
12/17/19,51
12/18/19,59
12/19/19,7
12/20/19,62
12/21/19,28
12/22/19,3
12/23/19,28
12/24/19,90
12/25/19,54
12/26/19,29
12/27/19,58
12/28/19,13
12/29/19,58
12/30/19,34
12/31/19,77
